2024-07-05 19:10:07 INFO  TestBase:90 - Finding an element:By.xpath: //button[@type='submit']
2024-07-05 19:10:07 INFO  TestBase:96 - Found an element:By.xpath: //button[@type='submit']
2024-07-05 19:10:07 INFO  TestBase:90 - Finding an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 19:10:10 INFO  TestBase:96 - Found an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 19:10:10 INFO  TestBase:102 - Clicking on element:button
2024-07-05 19:10:11 INFO  TestBase:90 - Finding an element:By.cssSelector: span i
2024-07-05 19:10:12 INFO  TestBase:96 - Found an element:By.cssSelector: span i
2024-07-05 19:10:12 INFO  TestBase:102 - Clicking on element:i
2024-07-05 19:10:12 INFO  TestBase:90 - Finding an element:By.cssSelector: ul.oxd-dropdown-menu li:last-of-type a
2024-07-05 19:10:12 INFO  TestBase:96 - Found an element:By.cssSelector: ul.oxd-dropdown-menu li:last-of-type a
2024-07-05 19:10:12 INFO  TestBase:102 - Clicking on element:a
2024-07-05 19:36:50 INFO  TestBase:42 - navigating to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 19:36:50 INFO  TestBase:48 - navigated to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 19:36:50 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='username']
2024-07-05 19:36:52 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='username']
2024-07-05 19:36:52 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='password']
2024-07-05 19:36:52 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='password']
2024-07-05 19:36:52 INFO  TestBase:90 - Finding an element:By.xpath: //button[@type='submit']
2024-07-05 19:36:53 INFO  TestBase:96 - Found an element:By.xpath: //button[@type='submit']
2024-07-05 19:37:05 INFO  TestBase:90 - Finding an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 19:37:05 INFO  TestBase:96 - Found an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 19:37:05 INFO  TestBase:102 - Clicking on element:button
2024-07-05 19:37:10 INFO  TestBase:90 - Finding an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 19:37:10 INFO  TestBase:96 - Found an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 19:37:18 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 19:37:18 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 19:37:18 INFO  TestBase:102 - Clicking on element:div
2024-07-05 19:37:39 INFO  TestBase:90 - Finding an element:By.cssSelector: span i
2024-07-05 19:37:40 INFO  TestBase:96 - Found an element:By.cssSelector: span i
2024-07-05 19:37:40 INFO  TestBase:102 - Clicking on element:i
2024-07-05 19:37:40 INFO  TestBase:90 - Finding an element:By.cssSelector: ul.oxd-dropdown-menu li:last-of-type a
2024-07-05 19:37:40 INFO  TestBase:96 - Found an element:By.cssSelector: ul.oxd-dropdown-menu li:last-of-type a
2024-07-05 19:37:40 INFO  TestBase:102 - Clicking on element:a
2024-07-05 19:59:51 INFO  TestBase:42 - navigating to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 19:59:54 INFO  TestBase:48 - navigated to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 19:59:54 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='username']
2024-07-05 19:59:54 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='username']
2024-07-05 19:59:55 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='password']
2024-07-05 19:59:55 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='password']
2024-07-05 19:59:55 INFO  TestBase:90 - Finding an element:By.xpath: //button[@type='submit']
2024-07-05 19:59:55 INFO  TestBase:96 - Found an element:By.xpath: //button[@type='submit']
2024-07-05 20:00:07 INFO  TestBase:90 - Finding an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:00:07 INFO  TestBase:96 - Found an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:00:07 INFO  TestBase:102 - Clicking on element:button
2024-07-05 20:00:12 INFO  TestBase:90 - Finding an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:00:12 INFO  TestBase:96 - Found an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:00:23 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:00:23 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
